"filename", "language", "Django HTML", "JSON", "JavaScript", "CSS", "XML", "SCSS", "WebAssembly Text Format", "comment", "blank", "total"
"d:\Websites\EvoMeal\Contact us\app.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\Websites\EvoMeal\Contact us\index.html", "Django HTML", 92, 0, 0, 0, 0, 0, 0, 0, 10, 102
"d:\Websites\EvoMeal\Contact us\style.css", "CSS", 0, 0, 0, 329, 0, 0, 0, 0, 56, 385
"d:\Websites\EvoMeal\Cookie Privacy\cdn\css\login-signup\loginsignup-new.css", "CSS", 0, 0, 0, 1939, 0, 0, 0, 0, 276, 2215
"d:\Websites\EvoMeal\Cookie Privacy\cdn\images\homepage\desktop\design\vedantulogo_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Websites\EvoMeal\Cookie Privacy\cdn\images\new-homepage\newTagDropDown.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Websites\EvoMeal\Cookie Privacy\cdn\images\seo-templates\bookmark-filled-white.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\Websites\EvoMeal\Cookie Privacy\cookie.html", "Django HTML", 8299, 0, 0, 0, 0, 0, 0, 0, 503, 8802
"d:\Websites\EvoMeal\Cookie Privacy\manifest.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 50
"d:\Websites\EvoMeal\Cookie Privacy\serviceworker.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Websites\EvoMeal\Cookie Privacy\static\JSON\indian-cities.json", "JSON", 0, 2047, 0, 0, 0, 0, 0, 0, 0, 2047
"d:\Websites\EvoMeal\Cookie Privacy\static\css\haptik\v-haptik.css", "CSS", 0, 0, 0, 199, 0, 0, 0, 0, 33, 232
"d:\Websites\EvoMeal\Cookie Privacy\static\images\back.svg", "XML", 0, 0, 0, 0, 37, 0, 0, 1, 1, 39
"d:\Websites\EvoMeal\Cookie Privacy\static\images\checked.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\Websites\EvoMeal\Cookie Privacy\static\images\error-icon.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 1, 46
"d:\Websites\EvoMeal\Cookie Privacy\static\metadata\country-phone-codes.json", "JSON", 0, 810, 0, 0, 0, 0, 0, 0, 0, 810
"d:\Websites\EvoMeal\Terms And Condition\Tm.html", "Django HTML", 8325, 0, 0, 0, 0, 0, 0, 0, 501, 8826
"d:\Websites\EvoMeal\Terms And Condition\cdn\css\login-signup\loginsignup-new.css", "CSS", 0, 0, 0, 1939, 0, 0, 0, 0, 276, 2215
"d:\Websites\EvoMeal\Terms And Condition\cdn\images\homepage\desktop\design\vedantulogo_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Websites\EvoMeal\Terms And Condition\cdn\images\new-homepage\newTagDropDown.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Websites\EvoMeal\Terms And Condition\cdn\images\seo-templates\bookmark-filled-white.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\Websites\EvoMeal\Terms And Condition\manifest.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 50
"d:\Websites\EvoMeal\Terms And Condition\serviceworker.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Websites\EvoMeal\Terms And Condition\static\JSON\indian-cities.json", "JSON", 0, 2047, 0, 0, 0, 0, 0, 0, 0, 2047
"d:\Websites\EvoMeal\Terms And Condition\static\css\haptik\v-haptik.css", "CSS", 0, 0, 0, 199, 0, 0, 0, 0, 33, 232
"d:\Websites\EvoMeal\Terms And Condition\static\images\back.svg", "XML", 0, 0, 0, 0, 37, 0, 0, 1, 1, 39
"d:\Websites\EvoMeal\Terms And Condition\static\images\checked.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\Websites\EvoMeal\Terms And Condition\static\images\error-icon.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 1, 46
"d:\Websites\EvoMeal\Terms And Condition\static\metadata\country-phone-codes.json", "JSON", 0, 810, 0, 0, 0, 0, 0, 0, 0, 810
"d:\Websites\EvoMeal\_next\data\xy_M1UjDem6TTdP-c_OZH\en.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Websites\EvoMeal\_next\image.html", "Django HTML", 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\Websites\EvoMeal\_next\static\chunks\27910.fe22cbcc66e9a32e.js", "JavaScript", 0, 0, 2785, 0, 0, 0, 0, 0, 3, 2788
"d:\Websites\EvoMeal\_next\static\chunks\30260.afc50cd2e03d1c4f.js", "JavaScript", 0, 0, 350, 0, 0, 0, 0, 0, 17, 367
"d:\Websites\EvoMeal\_next\static\chunks\41155975-e7ee924b319b6fe6.js", "JavaScript", 0, 0, 946, 0, 0, 0, 0, 0, 52, 998
"d:\Websites\EvoMeal\_next\static\chunks\47950.4afe4f27ec64dbad.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"d:\Websites\EvoMeal\_next\static\chunks\48893-109ad1d9ad215650.js", "JavaScript", 0, 0, 427, 0, 0, 0, 0, 0, 2, 429
"d:\Websites\EvoMeal\_next\static\chunks\49575.6cfdefe35aa3d2d0.js", "JavaScript", 0, 0, 274, 0, 0, 0, 0, 0, 1, 275
"d:\Websites\EvoMeal\_next\static\chunks\54918-163335335f2b7f29.js", "JavaScript", 0, 0, 1001, 0, 0, 0, 0, 0, 15, 1016
"d:\Websites\EvoMeal\_next\static\chunks\55042-cffca7f1bb99d874.js", "JavaScript", 0, 0, 395, 0, 0, 0, 0, 0, 1, 396
"d:\Websites\EvoMeal\_next\static\chunks\55176-6fe77d50d0320245.js", "JavaScript", 0, 0, 1372, 0, 0, 0, 0, 0, 37, 1409
"d:\Websites\EvoMeal\_next\static\chunks\5951.9d35ba77b7defd54.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 77
"d:\Websites\EvoMeal\_next\static\chunks\6179.35821ab388a2a365.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 70
"d:\Websites\EvoMeal\_next\static\chunks\62007-735bf610ee67b1c9.js", "JavaScript", 0, 0, 380, 0, 0, 0, 0, 0, 7, 387
"d:\Websites\EvoMeal\_next\static\chunks\67466-dc0c01066901ba91.js", "JavaScript", 0, 0, 1256, 0, 0, 0, 0, 0, 35, 1291
"d:\Websites\EvoMeal\_next\static\chunks\70685.3b55df94c225c18e.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 1, 205
"d:\Websites\EvoMeal\_next\static\chunks\72128-68b48ec2f7e7fe8e.js", "JavaScript", 0, 0, 716, 0, 0, 0, 0, 0, 11, 727
"d:\Websites\EvoMeal\_next\static\chunks\73871-3801580463f3a67e.js", "JavaScript", 0, 0, 1002, 0, 0, 0, 0, 0, 21, 1023
"d:\Websites\EvoMeal\_next\static\chunks\75475.5562b8ff3314c204.js", "JavaScript", 0, 0, 252, 0, 0, 0, 0, 0, 0, 252
"d:\Websites\EvoMeal\_next\static\chunks\76085-dd803389acf9c390.js", "JavaScript", 0, 0, 526, 0, 0, 0, 0, 0, 8, 534
"d:\Websites\EvoMeal\_next\static\chunks\85d7bc83-074f7309d91426d8.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 4, 86
"d:\Websites\EvoMeal\_next\static\chunks\86399-a2c27cee1c5b0836.js", "JavaScript", 0, 0, 32215, 0, 0, 0, 0, 255, 694, 33164
"d:\Websites\EvoMeal\_next\static\chunks\88014-b70eb45b7a137b72.js", "JavaScript", 0, 0, 202, 0, 0, 0, 0, 0, 4, 206
"d:\Websites\EvoMeal\_next\static\chunks\96493.9efdfa5f938b4dc9.js", "JavaScript", 0, 0, 1409, 0, 0, 0, 0, 9, 8, 1426
"d:\Websites\EvoMeal\_next\static\chunks\98651.6605d7687b6f66a2.js", "JavaScript", 0, 0, 281, 0, 0, 0, 0, 0, 2, 283
"d:\Websites\EvoMeal\_next\static\chunks\99245-4874401ed88376b2.js", "JavaScript", 0, 0, 1258, 0, 0, 0, 0, 0, 8, 1266
"d:\Websites\EvoMeal\_next\static\chunks\e21e5bbe-f2d6d4b497170d3d.js", "JavaScript", 0, 0, 262, 0, 0, 0, 0, 0, 14, 276
"d:\Websites\EvoMeal\_next\static\chunks\framework-609e8429b1e991de.js", "JavaScript", 0, 0, 6392, 0, 0, 0, 0, 36, 342, 6770
"d:\Websites\EvoMeal\_next\static\chunks\main-96bc673caccc7e71.js", "JavaScript", 0, 0, 6014, 0, 0, 0, 0, 6, 141, 6161
"d:\Websites\EvoMeal\_next\static\chunks\pages\_app-2df8dfdef632a5db.js", "JavaScript", 0, 0, 18000, 0, 0, 0, 0, 12, 256, 18268
"d:\Websites\EvoMeal\_next\static\chunks\pages\index-f5a11715c8f236a0.js", "JavaScript", 0, 0, 876, 0, 0, 0, 0, 20, 13, 909
"d:\Websites\EvoMeal\_next\static\chunks\pages\templates\[slug]-421fd0a80d444eb7.js", "JavaScript", 0, 0, 616, 0, 0, 0, 0, 20, 8, 644
"d:\Websites\EvoMeal\_next\static\chunks\webpack-cea90b725a6ea59e.js", "JavaScript", 0, 0, 754, 0, 0, 0, 0, 0, 1, 755
"d:\Websites\EvoMeal\_next\static\css\27f7036b2e95a5b7.css", "CSS", 0, 0, 0, 6054, 0, 0, 0, 5, 1429, 7488
"d:\Websites\EvoMeal\_next\static\wasm\d088088fcfc18710.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 354583, 0, 0, 354583
"d:\Websites\EvoMeal\_next\static\xy_M1UjDem6TTdP-c_OZH\_buildManifest.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 137
"d:\Websites\EvoMeal\_next\static\xy_M1UjDem6TTdP-c_OZH\_ssgManifest.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\Websites\EvoMeal\cdn-cgi\rum.html", "Django HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Websites\EvoMeal\cdn-cgi\scripts\7d0fa10a\cloudflare-static\rocket-loader.min.js", "JavaScript", 0, 0, 444, 0, 0, 0, 0, 0, 24, 468
"d:\Websites\EvoMeal\favicon\manifest.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 41
"d:\Websites\EvoMeal\index.html", "Django HTML", 3826, 0, 0, 0, 0, 0, 0, 0, 415, 4241
"d:\Websites\EvoMeal\privacy-policy\cdn\css\login-signup\loginsignup-new.css", "CSS", 0, 0, 0, 1939, 0, 0, 0, 0, 276, 2215
"d:\Websites\EvoMeal\privacy-policy\cdn\images\homepage\desktop\design\vedantulogo_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Websites\EvoMeal\privacy-policy\cdn\images\new-homepage\newTagDropDown.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Websites\EvoMeal\privacy-policy\cdn\images\seo-templates\bookmark-filled-white.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\Websites\EvoMeal\privacy-policy\manifest.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 50
"d:\Websites\EvoMeal\privacy-policy\privacy-policy.html", "Django HTML", 8437, 0, 0, 0, 0, 0, 0, 0, 500, 8937
"d:\Websites\EvoMeal\privacy-policy\serviceworker.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Websites\EvoMeal\privacy-policy\static\JSON\indian-cities.json", "JSON", 0, 2047, 0, 0, 0, 0, 0, 0, 0, 2047
"d:\Websites\EvoMeal\privacy-policy\static\css\haptik\v-haptik.css", "CSS", 0, 0, 0, 199, 0, 0, 0, 0, 33, 232
"d:\Websites\EvoMeal\privacy-policy\static\images\back.svg", "XML", 0, 0, 0, 0, 37, 0, 0, 1, 1, 39
"d:\Websites\EvoMeal\privacy-policy\static\images\checked.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\Websites\EvoMeal\privacy-policy\static\images\error-icon.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 1, 46
"d:\Websites\EvoMeal\privacy-policy\static\metadata\country-phone-codes.json", "JSON", 0, 810, 0, 0, 0, 0, 0, 0, 0, 810
"d:\Websites\EvoMeal\templates\meal-plan-generator.html", "Django HTML", 1047, 0, 0, 0, 0, 0, 0, 0, 12, 1059
"d:\Websites\EvoMeal\wp-content\plugins\elementor\assets\css\frontend-lite.min.css", "CSS", 0, 0, 0, 6374, 0, 0, 0, 1, 924, 7299
